Location Name,X Coordinate,Y Coordinate
Nishi-Tokyo-shi,1002.1698193149454,6640.972926561036
Kirovsk,8458.98493030376,4659.056059727133
Walvis Bay,4048.7264997720927,9548.77687062948
Dee Why,952.7342562491315,6740.087186143553
Eidelstedt,2877.0231172622116,800.4610864066408
Yinqiao Zhen,3010.208740041761,504.3371246464068
Cypress,1858.8017517439225,4798.0601387163015
Pangkalpinang,6306.8680427899535,3727.7274638598933
Dara,6554.195002774313,1439.1324340248657
Ivano-Frankivsk,8784.919586571896,7749.585370501606
Murree,1133.7989034429718,2009.959331824548
Gamla Uppsala,5649.171458259887,2838.4686638621724
Shpola,9412.181469713083,3920.0291330223067
Dodge City,9568.357369950198,5059.3659135159705
Bra,8907.437486279892,426.4028504123163
Piqua,3316.337797645559,6661.780398863239
Nakhon Sawan,2729.0897283517456,4462.542305006436
Cumanacoa,2111.5271327322216,2664.8955488321003
Petushki,6399.874762178924,7898.306800826858
Guararema,9377.255769900654,2980.4974717932773
Sun City Center,4441.622499888825,3723.9820457484498
Aarau,3786.773750563627,1180.2188438174587
Saryaghash,7912.4394912873895,2784.263463777342
Starachowice,6358.691780382448,4036.3608222122207
Jingguan,4389.006793719479,747.1043042860981
Guelmim,9144.04789919219,8186.501785543819
Xiuyan,1478.5702766359743,8358.175683487376
Doha,6596.124078289363,3760.2871162837814
North Chicopee,1118.5562851963027,1892.2163047907802
Cluj-Napoca,6441.180350927391,4680.482150264314
Glen Cove,7266.820189515778,1355.7375214871104
Dillenburg,4090.301482727582,3561.778723062322
Navolato,3144.6917198329406,8475.881769720827
Lackawanna,4100.730867152492,2279.2825440557563
Fort Smith,7514.204337733626,2678.161540927967
Liberec,3974.448779070271,1676.0684590492547
Jaru,5748.229077562561,3930.1587850999585
Beaverton,9170.454172825877,8125.234224092319
San Miguel,8153.528030899686,7746.329431392611
Ximeicun,2710.172348390326,5982.844332360163
Xiaoweizhai,3040.772625099506,8628.73273609156
Edirne,9410.017499961214,9941.004945738405
Arcos de la Frontera,4312.5799577389735,9290.699332311604
Haomen,5727.08714314674,6923.434025031364
Ezhva,7923.762552281456,5762.744400731742
Pandua,2916.878748447065,5812.461123352594
Maha Sarakham,5392.412238912905,2759.60400011345
Saito,8004.57905341942,1657.122697513832
Sanchazi,535.6388115597655,524.4015178274552
Pathum Thani,1015.6236995961854,2827.3523940297805
Apizaco,5449.368157271617,2439.929363563774
Wuwei,9483.267915165361,6414.068885031973
Woodlawn,7275.343154937271,6105.600913984678
Khurai,9221.444370253568,7064.679333011197
Zavodoukovsk,9435.938296105613,6185.350957540623
Santa Cruz de Mara,2825.2874030128105,2388.504486889954
Rego Park,4800.944926327918,1339.9931180447966
Kunwi,5472.5941184505045,2011.7324731099918
Sneek,4442.05196844574,4975.366337307953
La Bonanova,1585.7475767504359,8983.306054087363
Marcinelle,5451.161770269047,6987.6515632778755
Margate,9498.870514553233,2267.456451692609
Zhangye,2312.9243541607216,1542.156439949045
Aston,8308.942027384956,1420.7174111907527
Lake Forest,3003.415704336858,7696.825421044299
Itogon,2165.175961081641,337.83290228448834
Frechen,3334.711079511866,7758.968836987747
Shaping,8959.349237325756,5509.888384392362
Omutninsk,5771.66089982422,4687.307247574182
Nassau,9483.028519719977,5835.980529003999
Primer Ensanche,5776.989542447749,5160.130266158985
